                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2043,                 5.4146,                 1.3038,                 0.0002,                0.00781,                0.00012,                  7e-05,                    nan,                    nan,                    nan,              4.669e-05,              4.669e-05,              4.669e-05
                      2,                0.93264,                  3.457,                 1.1391,                0.00117,                0.01907,                0.00067,                0.00052,                    nan,                    nan,                    nan,             9.6088e-05,             9.6088e-05,             9.6088e-05
                      3,                0.76289,                 2.2158,                 1.0167,                0.00311,                0.06211,                0.00217,                0.00176,                    nan,                    nan,                    nan,             0.00014126,             0.00014126,             0.00014126
                      4,                0.67807,                 1.6748,                0.96013,                0.37966,                0.05398,                0.00274,                0.00225,                    nan,                    nan,                    nan,             0.00018221,             0.00018221,             0.00018221
                      5,                0.68496,                 1.4544,                0.95337,                0.37876,                0.05186,                0.00183,                0.00152,                    nan,                    nan,                    nan,             0.00021893,             0.00021893,             0.00021893
                      6,                0.61807,                 1.4163,                0.94775,                0.37831,                0.04127,                 0.0014,                 0.0012,                    nan,                    nan,                    nan,             0.00025142,             0.00025142,             0.00025142
                      7,                0.63704,                 1.2557,                 0.9228,                0.37878,                0.02141,                 0.0017,                0.00146,                    nan,                    nan,                    nan,             0.00027969,             0.00027969,             0.00027969
                      8,                0.57638,                 1.1833,                 0.9086,                0.37837,                0.02141,                0.00151,                 0.0013,                    nan,                    nan,                    nan,             0.00030373,             0.00030373,             0.00030373
                      9,                0.57514,                 1.0612,                0.90975,                 0.5024,                0.01929,                0.00086,                0.00075,                    nan,                    nan,                    nan,             0.00032354,             0.00032354,             0.00032354
                     10,                  0.589,                 1.0591,                0.90658,                0.50229,                0.01929,                 0.0009,                0.00078,                    nan,                    nan,                    nan,             0.00033913,             0.00033913,             0.00033913
                     11,                0.58963,                0.97366,                0.91122,                 0.5025,                0.01929,                  0.001,                0.00087,                    nan,                    nan,                    nan,              0.0003505,              0.0003505,              0.0003505
                     12,                 0.5798,                 1.0291,                0.90674,                0.50299,                0.01717,                0.00131,                0.00112,                    nan,                    nan,                    nan,             0.00035763,             0.00035763,             0.00035763
                     13,                0.57456,                0.94809,                0.91279,                0.50335,                0.01505,                0.00122,                0.00105,                    nan,                    nan,                    nan,             0.00035004,             0.00035004,             0.00035004
                     14,                0.53777,                0.85938,                0.90122,                0.25231,                0.01929,                0.00155,                0.00106,                    nan,                    nan,                    nan,             0.00035004,             0.00035004,             0.00035004
                     15,                  0.542,                0.84436,                0.89369,                0.12718,                0.01929,                0.00153,                0.00105,                    nan,                    nan,                    nan,             0.00032363,             0.00032363,             0.00032363
                     16,                0.51402,                 1.0055,                0.87281,                0.12711,                0.01929,                0.00128,                0.00095,                    nan,                    nan,                    nan,             0.00029722,             0.00029722,             0.00029722
                     17,                0.53014,                 1.0255,                 0.8778,                0.37706,                0.01929,                0.00118,                0.00089,                    nan,                    nan,                    nan,              0.0002708,              0.0002708,              0.0002708
                     18,                0.50567,                0.91206,                0.85927,                0.12686,                0.02141,                0.00113,                0.00086,                    nan,                    nan,                    nan,             0.00024439,             0.00024439,             0.00024439
                     19,                0.50003,                0.89065,                 0.8829,                0.00214,                0.02565,                0.00121,                0.00091,                    nan,                    nan,                    nan,             0.00021798,             0.00021798,             0.00021798
                     20,                0.51611,                0.83387,                0.87514,                0.00232,                0.02777,                0.00139,                0.00101,                    nan,                    nan,                    nan,             0.00019156,             0.00019156,             0.00019156
                     21,                0.48453,                 0.7844,                0.85218,                0.25244,                0.02777,                0.00153,                0.00109,                    nan,                    nan,                    nan,             0.00016515,             0.00016515,             0.00016515
                     22,                0.50182,                0.76912,                0.86008,                0.37761,                0.02777,                0.00192,                0.00135,                    nan,                    nan,                    nan,             0.00013874,             0.00013874,             0.00013874
                     23,                0.47939,                0.74625,                0.86277,                0.37772,                0.02777,                 0.0021,                0.00145,                    nan,                    nan,                    nan,             0.00011232,             0.00011232,             0.00011232
                     24,                0.51861,                0.78491,                 0.8656,                0.25281,                0.02777,                0.00218,                0.00151,                    nan,                    nan,                    nan,              8.591e-05,              8.591e-05,              8.591e-05
                     25,                0.49565,                0.74286,                0.86838,                0.25284,                0.02777,                0.00219,                0.00151,                    nan,                    nan,                    nan,             5.9496e-05,             5.9496e-05,             5.9496e-05
